REGION,EMISSION,YEAR,VALUE
REGION1,ATHY,2015,147.67
REGION1,ATHY,2016,149.26
REGION1,ATHY,2017,150.85
REGION1,ATHY,2018,152.44
REGION1,ATHY,2019,154.03
REGION1,ATHY,2020,155.62
REGION1,ATHY,2021,156.57
REGION1,ATHY,2022,157.52
REGION1,ATHY,2023,158.46
REGION1,ATHY,2024,159.41
REGION1,ATHY,2025,160.35
REGION1,ATHY,2026,160.37
REGION1,ATHY,2027,160.39
REGION1,ATHY,2028,160.4
REGION1,ATHY,2029,160.42
REGION1,ATHY,2030,160.44
REGION1,ATHY,2031,160.72
REGION1,ATHY,2032,161.01
REGION1,ATHY,2033,161.29
REGION1,ATHY,2034,161.58
REGION1,ATHY,2035,161.86
REGION1,ATHY,2036,161.96
REGION1,ATHY,2037,162.06
REGION1,ATHY,2038,162.16
REGION1,ATHY,2039,162.26
REGION1,ATHY,2040,162.36
REGION1,ATHY,2041,162.37
REGION1,ATHY,2042,162.38
REGION1,ATHY,2043,162.39
REGION1,ATHY,2044,162.4
REGION1,ATHY,2045,162.41
REGION1,ATHY,2046,162.89
REGION1,ATHY,2047,163.38
REGION1,ATHY,2048,163.86
REGION1,ATHY,2049,164.35
REGION1,ATHY,2050,164.83
REGION1,ATHY,2051,165
REGION1,ATHY,2052,165.16
REGION1,ATHY,2053,165.33
REGION1,ATHY,2054,165.49
REGION1,ATHY,2055,165.66
REGION1,ATHY,2056,165.83
REGION1,ATHY,2057,165.99
REGION1,ATHY,2058,166.16
REGION1,ATHY,2059,166.32
REGION1,ATHY,2060,166.49
REGION1,ATSO,2015,3.37
REGION1,ATSO,2016,3.95
REGION1,ATSO,2017,4.57
REGION1,ATSO,2018,5.24
REGION1,ATSO,2019,6.13
REGION1,ATSO,2020,7.35
REGION1,ATSO,2021,10.02
REGION1,ATSO,2022,12.77
REGION1,ATSO,2023,20.69
REGION1,ATSO,2024,27.89
REGION1,ATSO,2025,35.09
REGION1,ATSO,2026,42.29
REGION1,ATSO,2027,49.49
REGION1,ATSO,2028,56.69
REGION1,ATSO,2029,63.89
REGION1,ATSO,2030,71.09
REGION1,ATSO,2031,78.29
REGION1,ATSO,2032,85.49
REGION1,ATSO,2033,92.69
REGION1,ATSO,2034,99.89
REGION1,ATSO,2035,107.09
REGION1,ATSO,2036,114.29
REGION1,ATSO,2037,121.49
REGION1,ATSO,2038,128.69
REGION1,ATSO,2039,135.89
REGION1,ATSO,2040,143.09
REGION1,ATSO,2041,150.29
REGION1,ATSO,2042,157.49
REGION1,ATSO,2043,164.69
REGION1,ATSO,2044,171.89
REGION1,ATSO,2045,179.09
REGION1,ATSO,2046,186.29
REGION1,ATSO,2047,193.49
REGION1,ATSO,2048,200.69
REGION1,ATSO,2049,207.89
REGION1,ATSO,2050,215.09
REGION1,ATSO,2051,215.09
REGION1,ATSO,2052,215.09
REGION1,ATSO,2053,215.09
REGION1,ATSO,2054,215.09
REGION1,ATSO,2055,215.09
REGION1,ATSO,2056,215.09
REGION1,ATSO,2057,215.09
REGION1,ATSO,2058,215.09
REGION1,ATSO,2059,215.09
REGION1,ATSO,2060,215.09
REGION1,ATWI,2015,90
REGION1,ATWI,2016,90
REGION1,ATWI,2017,90
REGION1,ATWI,2018,90
REGION1,ATWI,2019,90
REGION1,ATWI,2020,90
REGION1,ATWI,2021,90
REGION1,ATWI,2022,90
REGION1,ATWI,2023,90
REGION1,ATWI,2024,90
REGION1,ATWI,2025,90
REGION1,ATWI,2026,90
REGION1,ATWI,2027,90
REGION1,ATWI,2028,90
REGION1,ATWI,2029,90
REGION1,ATWI,2030,90
REGION1,ATWI,2031,90
REGION1,ATWI,2032,90
REGION1,ATWI,2033,90
REGION1,ATWI,2034,90
REGION1,ATWI,2035,90
REGION1,ATWI,2036,90
REGION1,ATWI,2037,90
REGION1,ATWI,2038,90
REGION1,ATWI,2039,90
REGION1,ATWI,2040,90
REGION1,ATWI,2041,90
REGION1,ATWI,2042,90
REGION1,ATWI,2043,90
REGION1,ATWI,2044,90
REGION1,ATWI,2045,90
REGION1,ATWI,2046,90
REGION1,ATWI,2047,90
REGION1,ATWI,2048,90
REGION1,ATWI,2049,90
REGION1,ATWI,2050,90
REGION1,ATWI,2051,90
REGION1,ATWI,2052,90
REGION1,ATWI,2053,90
REGION1,ATWI,2054,90
REGION1,ATWI,2055,90
REGION1,ATWI,2056,90
REGION1,ATWI,2057,90
REGION1,ATWI,2058,90
REGION1,ATWI,2059,90
REGION1,ATWI,2060,90
REGION1,BEHO,2015,1.3
REGION1,BEHO,2016,1.31
REGION1,BEHO,2017,1.31
REGION1,BEHO,2018,1.32
REGION1,BEHO,2019,1.33
REGION1,BEHO,2020,1.34
REGION1,BEHO,2021,1.34
REGION1,BEHO,2022,1.34
REGION1,BEHO,2023,1.34
REGION1,BEHO,2024,1.34
REGION1,BEHO,2025,1.34
REGION1,BEHO,2026,1.48
