REGION,TECHNOLOGY,VALUE
REGION1,ATBFHPFH1,31.536
REGION1,ATBMCCPH1,31.536
REGION1,ATBMCHPH3,31.536
REGION1,ATBMCSPN2,31.536
REGION1,ATBMSTPH3,31.536
REGION1,ATCOCHPH3,31.536
REGION1,ATCOCSPN2,31.536
REGION1,ATCOSTPH1,31.536
REGION1,ATCOSTPH3,31.536
REGION1,ATELCHPH1,31.536
REGION1,ATELCZPH1,31.536
REGION1,ATELDEPH1,31.536
REGION1,ATELHUPH1,31.536
REGION1,ATELITPH1,31.536
REGION1,ATELSIPH1,31.536
REGION1,ATGOCVPH2,31.536
REGION1,ATHFCCPH2,31.536
REGION1,ATHFCHPH3,31.536
REGION1,ATHFGCPH3,31.536
REGION1,ATHFGCPN3,31.536
REGION1,ATHFHPFH1,31.536
REGION1,ATHFHPPH2,31.536
REGION1,ATHFSTPH2,31.536
REGION1,ATHFSTPH3,31.536
REGION1,ATHYDMPH0,31.536
REGION1,ATHYDMPH1,31.536
REGION1,ATHYDMPH2,31.536
REGION1,ATHYDMPH3,31.536
REGION1,ATHYDSPH2,31.536
REGION1,ATHYDSPH3,31.536
REGION1,ATNGCCPH2,31.536
REGION1,ATNGCHPH3,31.536
REGION1,ATNGCHPN3,31.536
REGION1,ATNGCSPN2,31.536
REGION1,ATNGFCFH1,31.536
REGION1,ATNGGCPH2,31.536
REGION1,ATNGGCPN2,31.536
REGION1,ATNGHPFH1,31.536
REGION1,ATNGHPPH2,31.536
REGION1,ATNGSTPH2,31.536
REGION1,ATSODIFH1,31.536
REGION1,ATSOUTPH2,31.536
REGION1,ATWIONPH3,31.536
REGION1,ATWIONPN3,31.536
REGION1,ATWSCHPH2,31.536
REGION1,ATWSSTPH1,31.536
REGION1,BEBFHPFH1,31.536
REGION1,BEBMCCPH1,31.536
REGION1,BEBMCHPH3,31.536
REGION1,BEBMCSPN2,31.536
REGION1,BEBMSTPH3,31.536
REGION1,BECOCHPH3,31.536
REGION1,BECOCSPN2,31.536
REGION1,BECOSTPH1,31.536
REGION1,BECOSTPH3,31.536
REGION1,BEELFRPH1,31.536
REGION1,BEELLUPH1,31.536
REGION1,BEELNLPH1,31.536
REGION1,BEGOCVPH2,31.536
REGION1,BEHFCCPH2,31.536
REGION1,BEHFCHPH3,31.536
REGION1,BEHFGCPH3,31.536
REGION1,BEHFGCPN3,31.536
REGION1,BEHFHPFH1,31.536
REGION1,BEHFHPPH2,31.536
REGION1,BEHFSTPH2,31.536
REGION1,BEHFSTPH3,31.536
REGION1,BEHYDMPH0,31.536
REGION1,BEHYDMPH1,31.536
REGION1,BEHYDMPH2,31.536
REGION1,BEHYDMPH3,31.536
REGION1,BEHYDSPH2,31.536
REGION1,BEHYDSPH3,31.536
REGION1,BENGCCPH2,31.536
REGION1,BENGCHPH3,31.536
REGION1,BENGCHPN3,31.536
REGION1,BENGCSPN2,31.536
REGION1,BENGFCFH1,31.536
REGION1,BENGGCPH2,31.536
REGION1,BENGGCPN2,31.536
REGION1,BENGHPFH1,31.536
REGION1,BENGHPPH2,31.536
REGION1,BENGSTPH2,31.536
REGION1,BENUG2PH3,31.536
REGION1,BENUG3PN3,31.536
REGION1,BEOCWVPH1,31.536
REGION1,BESODIFH1,31.536
REGION1,BESOUTPH2,31.536
REGION1,BEWIOFPH3,31.536
REGION1,BEWIOFPN2,31.536
REGION1,BEWIOFPN3,31.536
REGION1,BEWIONPH3,31.536
REGION1,BEWIONPN3,31.536
REGION1,BEWSCHPH2,31.536
REGION1,BEWSSTPH1,31.536
REGION1,DEBFHPFH1,31.536
REGION1,DEBMCCPH1,31.536
REGION1,DEBMCHPH3,31.536
REGION1,DEBMCSPN2,31.536
REGION1,DEBMSTPH3,31.536
REGION1,DECOCHPH3,31.536
REGION1,DECOCSPN2,31.536
REGION1,DECOSTPH1,31.536
REGION1,DECOSTPH3,31.536
REGION1,DEELDKPH1,31.536
REGION1,DEELFRPH1,31.536
REGION1,DEELLUPH1,31.536
REGION1,DEELNLPH1,31.536
REGION1,DEELNOPH1,31.536
REGION1,DEELPLPH1,31.536
REGION1,DEELSEPH1,31.536
REGION1,DEGOCVPH2,31.536
REGION1,DEHFCCPH2,31.536
REGION1,DEHFCHPH3,31.536
REGION1,DEHFGCPH3,31.536
REGION1,DEHFGCPN3,31.536
REGION1,DEHFHPFH1,31.536
REGION1,DEHFHPPH2,31.536
REGION1,DEHFSTPH2,31.536
REGION1,DEHFSTPH3,31.536
REGION1,DEHYDMPH0,31.536
REGION1,DEHYDMPH1,31.536
REGION1,DEHYDMPH2,31.536
REGION1,DEHYDMPH3,31.536
REGION1,DEHYDSPH2,31.536
REGION1,DEHYDSPH3,31.536
REGION1,DENGCCPH2,31.536
REGION1,DENGCHPH3,31.536
REGION1,DENGCHPN3,31.536
REGION1,DENGCSPN2,31.536
REGION1,DENGFCFH1,31.536
REGION1,DENGGCPH2,31.536
REGION1,DENGGCPN2,31.536
REGION1,DENGHPFH1,31.536
REGION1,DENGHPPH2,31.536
REGION1,DENGSTPH2,31.536
REGION1,DENUG2PH3,31.536
REGION1,DEOCWVPH1,31.536
REGION1,DESODIFH1,31.536
REGION1,DESOUTPH2,31.536
