REGION,YEAR,VALUE
REGION1,2015,1.2
REGION1,2016,1.2
REGION1,2017,1.2
REGION1,2018,1.2
REGION1,2019,1.2
REGION1,2020,1.2
REGION1,2021,1.2
REGION1,2022,1.2
REGION1,2023,1.2
REGION1,2024,1.2
REGION1,2025,1.2
REGION1,2026,1.2
REGION1,2027,1.2
REGION1,2028,1.2
REGION1,2029,1.2
REGION1,2030,1.2
REGION1,2031,1.2
REGION1,2032,1.2
REGION1,2033,1.2
REGION1,2034,1.2
REGION1,2035,1.2
REGION1,2036,1.2
REGION1,2037,1.2
REGION1,2038,1.2
REGION1,2039,1.2
REGION1,2040,1.2
REGION1,2041,1.2
REGION1,2042,1.2
REGION1,2043,1.2
REGION1,2044,1.2
REGION1,2045,1.2
REGION1,2046,1.2
REGION1,2047,1.2
REGION1,2048,1.2
REGION1,2049,1.2
REGION1,2050,1.2
REGION1,2051,1.2
REGION1,2052,1.2
REGION1,2053,1.2
REGION1,2054,1.2
REGION1,2055,1.2
REGION1,2056,1.2
REGION1,2057,1.2
REGION1,2058,1.2
REGION1,2059,1.2
REGION1,2060,1.2
