REGION,FUEL,YEAR,VALUE
REGION1,ATE2,2015,227.6
REGION1,ATE2,2016,227.9
REGION1,ATE2,2017,228.2
REGION1,ATE2,2018,228.5
REGION1,ATE2,2019,228.8
REGION1,ATE2,2020,229
REGION1,ATE2,2021,239.9
REGION1,ATE2,2022,250.8
REGION1,ATE2,2023,261.7
REGION1,ATE2,2024,267.992
REGION1,ATE2,2025,274.284
REGION1,ATE2,2026,280.576
REGION1,ATE2,2027,286.868
REGION1,ATE2,2028,293.16
REGION1,ATE2,2029,299.452
REGION1,ATE2,2030,305.745
REGION1,ATE2,2031,312.037
REGION1,ATE2,2032,318.329
REGION1,ATE2,2033,324.621
REGION1,ATE2,2034,330.913
REGION1,ATE2,2035,337.205
REGION1,ATE2,2036,343.497
REGION1,ATE2,2037,349.789
REGION1,ATE2,2038,356.081
REGION1,ATE2,2039,362.373
REGION1,ATE2,2040,368.665
REGION1,ATE2,2041,374.957
REGION1,ATE2,2042,381.249
REGION1,ATE2,2043,387.541
REGION1,ATE2,2044,393.834
REGION1,ATE2,2045,400.126
REGION1,ATE2,2046,406.418
REGION1,ATE2,2047,412.71
REGION1,ATE2,2048,419.002
REGION1,ATE2,2049,425.294
REGION1,ATE2,2050,431.586
REGION1,ATE2,2051,431.586
REGION1,ATE2,2052,431.586
REGION1,ATE2,2053,431.586
REGION1,ATE2,2054,431.586
REGION1,ATE2,2055,431.586
REGION1,ATE2,2056,431.586
REGION1,ATE2,2057,431.586
REGION1,ATE2,2058,431.586
REGION1,ATE2,2059,431.586
REGION1,ATE2,2060,431.586
REGION1,BEE2,2015,294.5
REGION1,BEE2,2016,292.8
REGION1,BEE2,2017,291.2
REGION1,BEE2,2018,289.6
REGION1,BEE2,2019,288.1
REGION1,BEE2,2020,286.5
REGION1,BEE2,2021,298.8
REGION1,BEE2,2022,311.1
REGION1,BEE2,2023,323.4
REGION1,BEE2,2024,330.766
REGION1,BEE2,2025,338.131
REGION1,BEE2,2026,345.497
REGION1,BEE2,2027,352.863
REGION1,BEE2,2028,360.229
REGION1,BEE2,2029,367.594
REGION1,BEE2,2030,374.96
REGION1,BEE2,2031,382.326
REGION1,BEE2,2032,389.691
REGION1,BEE2,2033,397.057
REGION1,BEE2,2034,404.423
REGION1,BEE2,2035,411.788
REGION1,BEE2,2036,419.154
REGION1,BEE2,2037,426.52
REGION1,BEE2,2038,433.886
REGION1,BEE2,2039,441.251
REGION1,BEE2,2040,448.617
REGION1,BEE2,2041,455.983
REGION1,BEE2,2042,463.348
REGION1,BEE2,2043,470.714
REGION1,BEE2,2044,478.08
REGION1,BEE2,2045,485.445
REGION1,BEE2,2046,492.811
REGION1,BEE2,2047,500.177
REGION1,BEE2,2048,507.543
REGION1,BEE2,2049,514.908
REGION1,BEE2,2050,522.274
REGION1,BEE2,2051,522.274
REGION1,BEE2,2052,522.274
REGION1,BEE2,2053,522.274
REGION1,BEE2,2054,522.274
REGION1,BEE2,2055,522.274
REGION1,BEE2,2056,522.274
REGION1,BEE2,2057,522.274
REGION1,BEE2,2058,522.274
REGION1,BEE2,2059,522.274
REGION1,BEE2,2060,522.274
REGION1,DEE2,2016,1864.5
REGION1,DEE2,2017,1850.2
REGION1,DEE2,2018,1836.1
REGION1,DEE2,2019,1822.2
REGION1,DEE2,2020,1808.4
REGION1,DEE2,2021,1890.5
REGION1,DEE2,2022,1972.6
REGION1,DEE2,2023,2054.9
REGION1,DEE2,2024,2099.976
REGION1,DEE2,2025,2145.051
REGION1,DEE2,2026,2190.127
REGION1,DEE2,2027,2235.202
REGION1,DEE2,2028,2280.278
REGION1,DEE2,2029,2325.354
REGION1,DEE2,2030,2370.429
REGION1,DEE2,2031,2415.505
REGION1,DEE2,2032,2460.58
REGION1,DEE2,2033,2505.656
REGION1,DEE2,2034,2550.732
REGION1,DEE2,2035,2595.807
REGION1,DEE2,2036,2640.883
REGION1,DEE2,2037,2685.958
REGION1,DEE2,2038,2731.034
REGION1,DEE2,2039,2776.109
REGION1,DEE2,2040,2821.185
REGION1,DEE2,2041,2866.261
REGION1,DEE2,2042,2911.336
REGION1,DEE2,2043,2956.412
REGION1,DEE2,2044,3001.487
REGION1,DEE2,2045,3046.563
REGION1,DEE2,2046,3091.639
REGION1,DEE2,2047,3136.714
REGION1,DEE2,2048,3181.79
REGION1,DEE2,2049,3226.865
REGION1,DEE2,2050,3271.941
REGION1,DEE2,2051,3271.941
REGION1,DEE2,2052,3271.941
REGION1,DEE2,2053,3271.941
REGION1,DEE2,2054,3271.941
REGION1,DEE2,2055,3271.941
REGION1,DEE2,2056,3271.941
REGION1,DEE2,2057,3271.941
REGION1,DEE2,2058,3271.941
REGION1,DEE2,2059,3271.941
REGION1,DEE2,2060,3271.941
REGION1,DKE2,2015,118.1
REGION1,DKE2,2016,119.3
REGION1,DKE2,2017,119
REGION1,DKE2,2018,120.2
REGION1,DKE2,2019,119.5
REGION1,DKE2,2020,121.6
REGION1,DKE2,2021,128.4
REGION1,DKE2,2022,123.8
REGION1,DKE2,2023,126
REGION1,DKE2,2024,133.8
REGION1,DKE2,2025,133.8
REGION1,DKE2,2026,155.4
REGION1,DKE2,2027,166.1
REGION1,DKE2,2028,176.9
REGION1,DKE2,2029,187.6
REGION1,DKE2,2030,198.4
REGION1,DKE2,2031,209.2
REGION1,DKE2,2032,219.9
REGION1,DKE2,2033,230.7
REGION1,DKE2,2034,241.4
REGION1,DKE2,2035,252.2
REGION1,DKE2,2036,263
REGION1,DKE2,2037,273.7
REGION1,DKE2,2038,284.5
REGION1,DKE2,2039,295.2
REGION1,DKE2,2040,306
