REGION,FUEL,YEAR,VALUE
REGION1,ATE2,2015,227.57
REGION1,ATE2,2016,230.42
REGION1,ATE2,2017,233.27
REGION1,ATE2,2018,236.11
REGION1,ATE2,2019,238.96
REGION1,ATE2,2020,241.80
REGION1,ATE2,2021,243.61
REGION1,ATE2,2022,245.42
REGION1,ATE2,2023,247.24
REGION1,ATE2,2024,249.05
REGION1,ATE2,2025,250.86
REGION1,ATE2,2026,252.89
REGION1,ATE2,2027,254.92
REGION1,ATE2,2028,256.96
REGION1,ATE2,2029,258.99
REGION1,ATE2,2030,261.02
REGION1,ATE2,2031,262.57
REGION1,ATE2,2032,264.12
REGION1,ATE2,2033,265.67
REGION1,ATE2,2034,267.22
REGION1,ATE2,2035,268.77
REGION1,ATE2,2036,270.93
REGION1,ATE2,2037,273.10
REGION1,ATE2,2038,275.26
REGION1,ATE2,2039,277.42
REGION1,ATE2,2040,279.59
REGION1,ATE2,2041,282.01
REGION1,ATE2,2042,284.43
REGION1,ATE2,2043,286.85
REGION1,ATE2,2044,289.27
REGION1,ATE2,2045,291.69
REGION1,ATE2,2046,293.00
REGION1,ATE2,2047,294.31
REGION1,ATE2,2048,295.62
REGION1,ATE2,2049,296.93
REGION1,ATE2,2050,298.25
REGION1,ATE2,2051,298.25
REGION1,ATE2,2052,298.25
REGION1,ATE2,2053,298.25
REGION1,ATE2,2054,298.25
REGION1,ATE2,2055,298.25
REGION1,ATE2,2056,298.25
REGION1,ATE2,2057,298.25
REGION1,ATE2,2058,298.25
REGION1,ATE2,2059,298.25
REGION1,ATE2,2060,298.25
REGION1,BEE2,2015,294.44
REGION1,BEE2,2016,296.04
REGION1,BEE2,2017,297.65
REGION1,BEE2,2018,299.26
REGION1,BEE2,2019,300.86
REGION1,BEE2,2020,302.47
REGION1,BEE2,2021,303.48
REGION1,BEE2,2022,304.48
REGION1,BEE2,2023,305.49
REGION1,BEE2,2024,306.50
REGION1,BEE2,2025,307.51
REGION1,BEE2,2026,310.08
REGION1,BEE2,2027,312.64
REGION1,BEE2,2028,315.21
REGION1,BEE2,2029,317.78
REGION1,BEE2,2030,320.35
REGION1,BEE2,2031,322.44
REGION1,BEE2,2032,324.53
REGION1,BEE2,2033,326.62
REGION1,BEE2,2034,328.72
REGION1,BEE2,2035,330.81
REGION1,BEE2,2036,334.68
REGION1,BEE2,2037,338.55
REGION1,BEE2,2038,342.43
REGION1,BEE2,2039,346.30
REGION1,BEE2,2040,350.17
REGION1,BEE2,2041,354.22
